Name,Type,Level,Race,Attribute,ATK,DEF,LCK,Release_date,Rare
Pendulum Impenetrable,Spell Card,,Quick-Play,,,,4.86,15/03/2008,False
Madolche Ticket,Spell Card,,Continuous,,,,0.43,12/04/2003,False
Metalfoes Steelen,Pendulum Normal Monster,2,Psychic,FIRE,0,2100,8.73,16/12/2020,True
Mystic Swordsman LV6,Effect Monster,6,Warrior,EARTH,2300,1700,0.74,02/02/2016,False
Elemental HERO Plasma Vice,Fusion Monster,8,Warrior,EARTH,2600,2300,4.56,22/11/2013,False
Raidraptor - Napalm Dragonius,Effect Monster,4,Winged Beast,DARK,1000,1000,4.59,08/10/2000,False
Kishido Spirit,Spell Card,,Continuous,,,,1.18,09/05/2016,False
Battle of the Elements,Trap Card,,Normal,,,,5.33,10/10/2018,True
Battle Instinct,Trap Card,,Normal,,,,1.53,25/07/2005,True
Batteryman 9-Volt,Effect Monster,4,Thunder,LIGHT,1000,1000,1.68,25/09/2010,False
Infernoid Pirmais,Effect Monster,1,Fiend,FIRE,0,0,8.05,18/12/1999,True
Overpowering Eye,Spell Card,,Normal,,,,1.23,08/07/2017,True
"Renge, Gatekeeper of Dark World",Normal Monster,4,Fiend,DARK,100,2100,7.52,17/04/2007,False
Monster Rebone,Trap Card,,Continuous,,,,6.61,10/11/2020,False
Sanguine Swamp,Trap Card,,Continuous,,,,3.28,07/06/2019,True
Reptilianne Hydra,Synchro Monster,6,Reptile,DARK,2100,1500,5.4,13/01/2005,False
Heroic Champion - Excalibur,XYZ Monster,4,Warrior,LIGHT,2000,2000,3.82,18/01/1999,True
Nefarious Archfiend Eater of Nefariousness,Effect Monster,4,Beast,EARTH,1500,200,7.49,26/11/2011,False
Naturia Cherries,Tuner Monster,1,Plant,EARTH,200,200,0.28,05/02/1999,True
Divine Dragon Lord Felgrand,Effect Monster,8,Dragon,LIGHT,2800,2800,6.02,16/11/2012,False
Cold Wave,Spell Card,,Normal,,,,0.76,09/06/2009,True
Skelengel,Flip Effect Monster,2,Fairy,LIGHT,900,400,5.55,12/07/2013,True
Tentacle Plant,Normal Monster,2,Plant,WATER,500,600,1.45,06/09/2007,True
Flamvell Counter,Trap Card,,Counter,,,,4.74,06/08/2019,False
Venom Shot,Spell Card,,Normal,,,,9.43,14/11/2019,True
Damage Eater,Effect Monster,2,Fiend,DARK,100,800,3.02,12/12/2015,False
Fiend Griefing,Trap Card,,Normal,,,,4.28,01/03/2010,True
Stray Lambs,Spell Card,,Normal,,,,7.02,08/10/2012,False
Lamb Token,Token,,Beast,,,,3.8,03/09/2020,False
Lamb Token,Token,,Beast,,,,0.38,17/06/2017,True
Junk Warrior,Synchro Monster,5,Warrior,DARK,2300,1300,2.11,11/01/2013,False
UFO Turtle,Effect Monster,4,Machine,FIRE,1400,1200,6.93,25/07/2018,True
Flame Cerebrus,Normal Monster,6,Pyro,FIRE,2100,1800,9.69,13/10/2018,False
Earthshaker,Trap Card,,Normal,,,,8.15,08/02/2002,True
Rare Value,Spell Card,,Normal,,,,8.77,16/05/2015,True
Train Connection,Spell Card,,Equip,,,,6.55,17/03/2008,False
D.D. Borderline,Spell Card,,Continuous,,,,6.4,20/04/2018,False
Broken Blocker,Trap Card,,Normal,,,,1.64,11/07/2020,False
Raidraptor - Sharp Lanius,Effect Monster,4,Winged Beast,DARK,1700,1000,6.1,23/04/2013,False
Arcana Force XIV - Temperance,Effect Monster,6,Fairy,LIGHT,2400,2400,9.66,25/02/2013,False
Ancient Gear Box,Effect Monster,4,Machine,EARTH,500,2000,8.77,01/10/2017,False
Absolute King Back Jack,Effect Monster,1,Fiend,DARK,0,0,7.79,16/11/2011,False
Blackfeather Darkrage Dragon,Synchro Monster,8,Dragon,DARK,2800,1600,1.97,03/12/2019,True
ZW - Leo Arms,XYZ Monster,5,Beast,LIGHT,3000,1200,4.3,16/05/2017,True
Machina Soldier,Effect Monster,4,Machine,EARTH,1600,1500,6.07,21/08/2016,True
Zenmailfunction,Spell Card,,Normal,,,,6.41,30/05/2009,False
Red Duston,Effect Monster,1,Fiend,FIRE,0,1000,3.64,12/05/2013,True
Synchronized Realm,Spell Card,,Continuous,,,,6.05,30/10/2015,False
Chaos End,Spell Card,,Normal,,,,5.1,12/10/2002,False
Naturia Rosewhip,Tuner Monster,3,Plant,EARTH,400,1700,8.96,13/08/2013,False
Tornado,Spell Card,,Quick-Play,,,,4.24,21/09/2001,False
Big Bang Shot,Spell Card,,Equip,,,,6.94,12/10/2012,True
Heroic Challenger - Night Watchman,Effect Monster,4,Warrior,EARTH,1200,300,2.15,05/12/2018,False
BOXer,Effect Monster,4,Warrior,EARTH,1800,1000,0.76,03/07/2019,False
Wild Nature's Release,Spell Card,,Normal,,,,1.05,20/06/2003,False
Edge Imp Chain,Effect Monster,4,Fiend,DARK,1200,1800,1.32,24/06/2010,True
Arcana Force IV - The Emperor,Effect Monster,4,Fairy,LIGHT,1400,1400,0.53,04/10/2010,True
Battery Charger,Spell Card,,Normal,,,,0.26,24/12/1999,True
Toon Buster Blader,Toon Monster,7,Warrior,EARTH,2600,2300,1.95,09/01/2019,False
Phantom Ghost,Normal Monster,2,Zombie,DARK,600,800,0.88,22/03/2017,False
Elemental HERO Thunder Giant,Fusion Monster,6,Warrior,LIGHT,2400,1500,7.99,18/09/2015,True
Pyrotech Mech - Shiryu,Effect Monster,8,Pyro,FIRE,2900,1800,9.42,10/04/2014,True
Tripod Fish,Effect Monster,3,Fish,WATER,300,1300,5.53,11/05/2013,True
Sea Lord's Amulet,Spell Card,,Continuous,,,,9.49,09/06/2013,False
Paleozoic Anomalocaris,XYZ Monster,2,Aqua,WATER,2400,0,9.19,13/07/2001,True
Advanced Heraldry Art,Spell Card,,Normal,,,,9.53,11/11/2001,False
Ghostrick Jackfrost,Effect Monster,1,Fiend,DARK,800,100,7.37,08/06/2019,True
Starliege Paladynamo,XYZ Monster,4,Warrior,LIGHT,2000,1000,1.92,23/05/2016,True
Skull Archfiend of Lightning,Effect Monster,6,Fiend,DARK,2500,1200,3.56,06/09/2008,False
Watthopper,Effect Monster,1,Thunder,LIGHT,0,0,7.26,19/01/2001,True
Sword of Dragon's Soul,Spell Card,,Equip,,,,2.71,12/08/2014,True
Elemental Burst,Trap Card,,Normal,,,,3.29,16/02/2012,True
Paleozoic Hallucigenia,Trap Card,,Normal,,,,4.89,14/01/2008,False
Sacred Phoenix of Nephthys,Effect Monster,8,Winged Beast,FIRE,2400,1600,4.38,27/03/2003,False
Return of the Monarchs,Spell Card,,Continuous,,,,0.51,20/06/2016,False
Grandsoil the Elemental Lord,Effect Monster,8,Beast-Warrior,EARTH,2800,2200,5.19,04/05/2004,True
"Chiwen, Light of the Yang Zing",Tuner Monster,1,Wyrm,LIGHT,0,0,4.58,09/02/2019,True
The Creator,Effect Monster,8,Thunder,LIGHT,2300,3000,7.62,14/06/2007,True
Banisher of the Light,Effect Monster,3,Fairy,LIGHT,100,2000,0.92,03/06/2017,False
Truckroid,Effect Monster,4,Machine,EARTH,1000,2000,2.11,03/09/2015,False
Dark Scorpion - Chick the Yellow,Effect Monster,3,Warrior,DARK,1000,1000,7.12,01/07/2014,False
Spellbook of Eternity,Spell Card,,Normal,,,,4,17/11/2011,False
U.A. Turnover Tactics,Spell Card,,Quick-Play,,,,1.69,29/05/2006,True
Bubble Crash,Trap Card,,Normal,,,,5.39,21/02/1999,False
Dark World Grimoire,Spell Card,,Continuous,,,,4.64,17/03/2012,False
Sinister Sprocket,Tuner Monster,1,Fiend,DARK,400,0,4.98,23/02/2019,False
Igknight Crusader,Pendulum Normal Monster,3,Warrior,FIRE,1600,300,4.05,01/11/2017,True
Summoning Curse,Spell Card,,Continuous,,,,1.82,12/11/2003,False
Remote Revenge,Trap Card,,Normal,,,,6.37,12/12/2015,True
Battlin' Boxer Rabbit Puncher,Effect Monster,3,Warrior,FIRE,800,1000,3.22,22/02/2014,True
Lionhearted Locomotive,Effect Monster,4,Machine,EARTH,2400,2100,4.59,17/05/2020,True
Graverobber,Trap Card,,Normal,,,,8.76,21/03/2019,False
Elder of the Six Samurai,Effect Monster,3,Warrior,EARTH,400,0,2.87,30/03/2004,True
Imperial Order,Trap Card,,Continuous,,,,9.58,12/12/2014,False
Divine Grace - Northwemko,Ritual Effect Monster,7,Spellcaster,LIGHT,2700,1200,5.76,30/09/2019,False
Vanadis of the Nordic Ascendant,Tuner Monster,4,Fairy,DARK,1200,400,7.62,22/07/2013,True
Malicevorous Fork,Effect Monster,2,Fiend,DARK,400,400,2.73,16/11/2013,True
Blizzard Dragon,Effect Monster,4,Dragon,WATER,1800,1000,6.74,14/03/2020,False
Flelf,Effect Monster,2,Spellcaster,WIND,800,1300,0.26,08/04/2013,False
Greenkappa,Flip Effect Monster,3,Warrior,DARK,650,900,5.17,08/08/2017,False
Portable Battery Pack,Trap Card,,Continuous,,,,3.9,25/04/2005,False
Magic Reflector,Spell Card,,Normal,,,,5.3,11/08/2000,False
Level Modulation,Spell Card,,Normal,,,,1.97,21/09/2000,False
Legendary Sword,Spell Card,,Equip,,,,5.79,25/02/2007,True
Earthquake Giant,Effect Monster,5,Rock,EARTH,1600,2100,7.01,30/01/2014,False
Yosenju's Divine Mountain Winds,Spell Card,,Normal,,,,7.21,02/02/1999,True
Black Dragon Collapserpent,Effect Monster,4,Dragon,DARK,1800,1700,4.26,17/11/2002,True
Phantom Knights' Sword,Trap Card,,Continuous,,,,7.14,28/03/2001,True
Gottoms' Second Call,Spell Card,,Normal,,,,1.3,01/01/2019,False
Glorious Illusion,Trap Card,,Continuous,,,,4.5,09/02/2014,True
Void Purification,Trap Card,,Continuous,,,,4.17,02/10/2008,True
Bubble Shuffle,Spell Card,,Quick-Play,,,,2.62,04/02/2013,False
Steelswarm Longhorn,Effect Monster,9,Fiend,DARK,3000,0,8.53,15/06/2016,True
Ghost Reaper & Winter Cherries,Tuner Monster,3,Zombie,DARK,0,1800,2.62,14/11/2018,True
Superheavy Samurai Gigagloves,Effect Monster,3,Machine,EARTH,100,1000,2.57,02/11/2005,True
Fishborg Archer,Tuner Monster,3,Fish,WATER,300,300,7.99,15/02/2001,False
Shiranui Smith,Effect Monster,4,Zombie,FIRE,1000,0,0.66,14/12/2009,False
Sage of Stillness,Effect Monster,4,Spellcaster,LIGHT,1400,1000,4.83,29/11/2008,True
Dimension Wanderer,Effect Monster,1,Spellcaster,LIGHT,0,0,8.1,04/04/2006,True
Elemental HERO Knospe,Effect Monster,3,Plant,EARTH,600,1000,9.61,08/04/2011,True
Divine Dragon Ragnarok,Normal Monster,4,Dragon,LIGHT,1500,1000,4.04,16/04/2005,False
Synchron Carrier,Effect Monster,2,Machine,EARTH,0,1000,1.1,17/01/2020,True
Synchron Token,Token,,Machine,,,,4.93,05/11/2002,True
Frequency Magician,Tuner Monster,2,Spellcaster,LIGHT,800,400,9.62,06/09/2010,False
The Wicked Dreadroot,Effect Monster,10,Fiend,DARK,4000,4000,7.43,02/04/2002,False
Vampire Kingdom,Spell Card,,Field,,,,7,22/10/2020,True
Lunar Queen Elzaim,Normal Monster,3,Fairy,LIGHT,750,1100,2.56,02/11/2013,False
Hot Red Dragon Archfiend King Calamity,Synchro Monster,12,Dragon,DARK,4000,3500,0.37,05/09/2019,True
Dragon Ravine,Spell Card,,Field,,,,4.31,03/12/2018,False
Justi-Break,Trap Card,,Normal,,,,7.92,24/04/2018,False
Magic Cylinder,Trap Card,,Normal,,,,4.66,21/02/2012,False
Dark Doriado,Pendulum Effect Monster,4,Spellcaster,DARK,1800,1400,5.97,18/01/2003,False
Alien Hunter,Effect Monster,4,Reptile,WATER,1600,800,6.63,15/05/2007,True
Adhesion Trap Hole,Trap Card,,Normal,,,,3.13,10/03/2006,True
Mighty Guard,Normal Monster,4,Machine,EARTH,500,1200,8.89,01/03/2012,True
Fortress Whale,Ritual Monster,7,Fish,WATER,2350,2150,9.56,14/05/2016,True
Kazejin,Effect Monster,7,Spellcaster,WIND,2400,2200,1.81,01/08/2011,True
Violet Witch,Effect Monster,4,Spellcaster,DARK,1100,1200,9.42,09/11/2003,False
Hyozanryu,Normal Monster,7,Dragon,LIGHT,2100,2800,6.48,27/12/2017,True
Rhaimundos of the Red Sword,Normal Monster,4,Warrior,EARTH,1200,1300,6.97,04/06/2010,True
Reshef the Dark Being,Ritual Effect Monster,8,Fiend,LIGHT,2500,1500,7.76,04/01/2006,True
Sylvan Flowerknight,Effect Monster,4,Plant,EARTH,1800,1000,1.06,27/02/2003,False
Different Dimension Deepsea Trench,Spell Card,,Continuous,,,,8.26,20/11/2010,True
Alien Grey,Flip Effect Monster,2,Reptile,LIGHT,300,800,8.49,21/08/2008,False
Pestilence,Spell Card,,Equip,,,,9.94,13/04/2018,False
Gravekeeper's Chief,Effect Monster,5,Spellcaster,DARK,1900,1200,3.28,14/01/2003,True
Achacha Chanbara,Effect Monster,3,Warrior,FIRE,1400,400,5.76,09/10/2006,True
Gogogo Golem,Effect Monster,4,Rock,EARTH,1800,1500,7.99,30/05/2000,False
Z-ONE,Spell Card,,Normal,,,,3.33,26/07/2007,True
Labradorite Dragon,Normal Tuner Monster,6,Dragon,DARK,0,2400,0.73,07/12/2008,True
Lekunga,Effect Monster,4,Plant,WATER,1700,500,8.61,10/07/2015,False
Lekunga Token,Token,,Plant,,,,7.52,05/07/2012,False
T.G. Recipro Dragonfly,Synchro Monster,2,Insect,WIND,300,300,4.1,18/10/2002,True
Masked HERO Dian,Fusion Monster,8,Warrior,EARTH,2800,3000,8.11,03/01/2005,False
Assault on GHQ,Trap Card,,Normal,,,,2.6,09/01/2008,True
X-Head Cannon,Normal Monster,4,Machine,LIGHT,1800,1500,0.66,31/07/2003,True
Toad Master,Normal Monster,3,Aqua,WATER,1000,1000,9.31,11/07/2011,False
Dizzying Winds of Yosen Village,Trap Card,,Continuous,,,,3.92,26/06/2000,True
Jurrac Tyrannus,Effect Monster,7,Dinosaur,FIRE,2500,1400,3.73,14/12/2001,False
The Phantom Knights of Break Sword,XYZ Monster,3,Warrior,DARK,2000,1000,7.3,10/05/2002,True
Steelswarm Genome,Effect Monster,2,Fiend,DARK,1000,0,7.97,13/06/2002,True
Armored Axon Kicker,Effect Monster,6,Psychic,EARTH,2200,1800,3.13,06/04/2016,True
Parrot Dragon,Normal Monster,5,Dragon,WIND,2000,1300,9.48,25/01/2009,True
Skull Conductor,Effect Monster,4,Zombie,DARK,2000,0,8.24,16/06/2003,False
Tour of Doom,Trap Card,,Continuous,,,,8.22,05/07/2016,True
Mystery Hand,Normal Monster,2,Fiend,DARK,500,500,3.5,19/12/2006,True
Shining Hope Road,Spell Card,,Normal,,,,1.19,28/09/2000,True
Good & Evil in the Burning Abyss,Spell Card,,Ritual,,,,6.06,01/07/2014,False
Light of Intervention,Trap Card,,Continuous,,,,6.8,05/07/2014,False
D - Shield,Trap Card,,Normal,,,,6.94,15/11/2019,True
Dragon Master Knight,Fusion Monster,12,Dragon,LIGHT,5000,5000,4.72,21/01/2001,False
Equip Shot,Trap Card,,Normal,,,,5.82,09/07/2010,False
Arcana Force 0 - The Fool,Effect Monster,1,Fairy,LIGHT,0,0,9.03,28/11/2013,False
Dicelops,Effect Monster,4,Machine,FIRE,1800,200,8.79,29/12/2005,False
Soprano the Melodious Songstress,Effect Monster,4,Fairy,LIGHT,1400,1400,1.16,19/09/2013,True
Natural Tune,Spell Card,,Normal,,,,8.28,27/02/2018,False
Silent Psychic Wizard,Effect Monster,4,Psychic,EARTH,1900,0,0.15,03/08/2000,False
Inari Fire,Effect Monster,4,Pyro,FIRE,1500,200,0.17,16/01/2016,False
"Libic, Malebranche of the Burning Abyss",Effect Monster,3,Fiend,DARK,1300,700,7.5,10/10/2006,True
Convulsion of Nature,Spell Card,,Continuous,,,,0.75,08/08/2012,True
Destruction of Destiny,Trap Card,,Normal,,,,1.36,11/10/2018,False
Unstable Evolution,Spell Card,,Equip,,,,7.53,24/06/2009,True
Soul-Absorbing Bone Tower,Effect Monster,3,Zombie,DARK,400,1500,8.44,05/12/2000,True
Volcanic Queen,Effect Monster,6,Pyro,FIRE,2500,1200,7.85,24/02/2012,True
Iron Core Immediate Disposal,Spell Card,,Normal,,,,3.91,10/07/2013,True
Dragon Manipulator,Flip Effect Monster,3,Warrior,EARTH,700,800,5.84,12/03/2018,False
Skyscraper,Spell Card,,Field,,,,8.12,02/10/2000,False
Bujin Regalia - The Jewel,Trap Card,,Normal,,,,2.65,25/08/2010,False
Elemental HERO Blazeman,Effect Monster,4,Warrior,FIRE,1200,1800,9.12,29/11/2010,False
Tempest Magician,Synchro Monster,6,Spellcaster,DARK,2200,1400,7.53,29/07/2018,False
Stop Defense,Spell Card,,Normal,,,,7.62,06/12/2011,True
Orca Mega-Fortress of Darkness,Effect Monster,5,Sea Serpent,WATER,2100,1200,3.78,31/08/2010,False
The Shadow Who Controls the Dark,Normal Monster,3,Fiend,DARK,800,700,9.77,01/05/1999,False
Batteryman AA,Effect Monster,3,Thunder,LIGHT,0,0,9.04,10/06/2005,False
Wall Shadow,Effect Monster,7,Warrior,DARK,1600,3000,5.75,02/01/2007,True
Fool of Prophecy,Effect Monster,3,Spellcaster,EARTH,1600,900,0.44,14/06/2000,True
Great Shogun Shien,Effect Monster,7,Warrior,FIRE,2500,2400,3.69,15/08/2014,True
Over Capacity,Trap Card,,Normal,,,,2.25,30/12/2015,True
Saber Shark,Effect Monster,4,Fish,WATER,1600,1200,6.98,30/08/2003,False
Genex Ally Reliever,Effect Monster,5,Machine,DARK,2200,1000,5.29,30/03/2013,True
Photon Satellite,Effect Monster,1,Machine,LIGHT,0,0,7.07,09/04/2001,True
Rai-Mei,Effect Monster,3,Thunder,LIGHT,1400,1200,7.97,27/09/1999,True
Cyber Shield,Spell Card,,Equip,,,,3.68,11/08/1999,True
Skill Prisoner,Trap Card,,Normal,,,,1.56,26/10/2005,False
Dinomist Rex,Pendulum Effect Monster,5,Machine,WATER,2400,2200,6.62,05/01/2018,False
Alien Overlord,Effect Monster,6,Reptile,DARK,2200,1600,5.55,05/06/2012,True
Sylvan Peaskeeper,Effect Monster,1,Plant,WIND,400,100,1.26,02/07/2012,False
Miracle Jurassic Egg,Effect Monster,4,Dinosaur,EARTH,0,2000,6.35,06/10/2010,False
Satellarknight Sirius,Effect Monster,4,Warrior,LIGHT,1600,900,6.47,07/01/2005,True
Dragon Shield,Spell Card,,Equip,,,,7.24,06/06/2009,False
Terra the Terrible,Normal Monster,4,Fiend,DARK,1200,1300,5.19,30/04/2002,True
Trojan Blast,Trap Card,,Normal,,,,1.17,27/06/2010,True
Phoenix Wing Wind Blast,Trap Card,,Normal,,,,4.18,21/02/2017,False
Destiny HERO - Celestial,Effect Monster,4,Warrior,DARK,1600,1400,2.91,24/03/2020,False
Goyo Chaser,Synchro Monster,5,Warrior,EARTH,1900,1000,0.87,05/08/2009,True
Thousand Knives,Spell Card,,Normal,,,,2.87,12/07/2016,True
Senet Switch,Spell Card,,Continuous,,,,7.58,30/10/2013,True
Giganticastle,Synchro Monster,9,Rock,EARTH,2900,2800,7.52,01/05/2019,False
Stone Armadiller,Normal Monster,3,Rock,EARTH,800,1200,7.42,08/07/2019,True
Physical Double,Trap Card,,Normal,,,,1.94,29/03/2012,False
Mirage Token,Token,,Warrior,,,,8.45,17/04/2015,True
Underground Arachnid,Synchro Monster,6,Insect,EARTH,2400,1200,0.77,29/11/2003,False
Meklord Astro Mekanikle,Effect Monster,12,Machine,LIGHT,4000,4000,4.21,26/06/2019,True
Cyber Summon Blaster,Trap Card,,Continuous,,,,2.42,06/12/2005,False
Star Changer,Spell Card,,Quick-Play,,,,2.68,29/08/2008,True
Dragunity Arma Leyvaten,Effect Monster,8,Dragon,WIND,2600,1200,5.02,21/04/2017,False
Mystical Capture Chain,Normal Monster,2,Fairy,LIGHT,700,700,3.7,20/07/2015,False
Mystical Wind Typhoon,Spell Card,,Quick-Play,,,,0.59,06/10/2003,True
Thousand-Eyes Restrict,Fusion Monster,1,Spellcaster,DARK,0,0,1.7,14/04/2004,False
Mech Mole Zombie,Normal Monster,2,Zombie,DARK,500,400,5.53,09/07/2012,False
Constellar Meteor,Trap Card,,Normal,,,,9.62,05/09/2007,True
Pharaoh's Treasure,Trap Card,,Normal,,,,6.65,21/03/2012,False
Gogogo Talisman,Spell Card,,Continuous,,,,9.8,29/12/2013,False
Unicorn Beacon,Spell Card,,Normal,,,,7.4,17/11/2011,False
X-Saber Souza,Synchro Monster,7,Warrior,EARTH,2500,1600,6.33,18/09/2019,True
Butterspy Protection,Trap Card,,Normal,,,,8.69,27/06/2020,False
Wave-Motion Inferno,Spell Card,,Continuous,,,,3.96,08/11/2020,False
Goblin Zombie,Effect Monster,4,Zombie,DARK,1100,1050,0.96,20/12/2002,False
Buster Blaster,Union Effect Monster,1,Machine,EARTH,0,0,3.01,03/06/2004,True
Attack and Receive,Trap Card,,Normal,,,,1.15,03/07/2013,True
Gravekeeper's Spear Soldier,Effect Monster,4,Spellcaster,DARK,1500,1000,3.65,31/01/2008,False
O - Oversoul,Spell Card,,Normal,,,,4.53,04/01/2010,True
Ryu Okami,Effect Monster,8,Wyrm,LIGHT,2900,1200,9.94,28/01/2017,False
Fog Control,Spell Card,,Quick-Play,,,,9.4,08/11/2012,True
Exarion Universe,Effect Monster,4,Beast-Warrior,DARK,1800,1900,3.2,04/02/2016,False
Smoke Grenade of the Thief,Spell Card,,Equip,,,,7.34,25/09/2010,False
Melodious Illusion,Trap Card,,Normal,,,,9.94,09/04/2019,True
Supersonic Skull Flame,Effect Monster,10,Zombie,WIND,2600,2000,6.58,15/06/2006,True
Rainbow Gravity,Trap Card,,Normal,,,,4.08,12/06/2012,False
The Phantom Knights of Ragged Gloves,Effect Monster,3,Warrior,DARK,1000,500,2.82,15/02/2016,True
Break! Draw!,Spell Card,,Equip,,,,2.01,10/05/2010,True
Marshalling Field,Trap Card,,Continuous,,,,9.17,13/08/2007,True
Archfiend Palabyrinth,Spell Card,,Field,,,,4.79,29/08/2011,True
"Jizukiru, the Star Destroying Kaiju",Effect Monster,10,Machine,LIGHT,3300,2600,7.45,06/12/2018,False
Gishki Noellia,Effect Monster,4,Spellcaster,WATER,1700,1000,0.02,28/05/2018,True
Submarine Frog,Effect Monster,2,Aqua,WATER,1200,600,3.03,27/11/2004,True
Junk Synchron,Tuner Monster,3,Warrior,DARK,1300,500,4.74,22/02/2006,False
Double Cipher,Trap Card,,Normal,,,,1.13,14/08/2005,False
Machine Duplication,Spell Card,,Normal,,,,6.88,04/11/2012,False
Pot of Acquisitiveness,Spell Card,,Quick-Play,,,,2.81,24/03/2014,True
Genex Ally Birdman,Tuner Monster,3,Machine,DARK,1400,400,1.49,28/01/2009,False
Variable Form,Trap Card,,Continuous,,,,9.55,25/03/2001,True
Obliterate!!!,Trap Card,,Continuous,,,,0.08,11/04/2013,False
Horn of the Unicorn,Spell Card,,Equip,,,,3.44,20/05/2007,True
Kozmo Dark Eclipser,Effect Monster,9,Machine,DARK,3000,2600,5.52,09/12/2010,True
Future Glow,Spell Card,,Continuous,,,,3.12,29/07/2013,False
Photon Circle,Effect Monster,4,Spellcaster,LIGHT,1000,1000,7.64,28/03/2006,False
Embryonic Beast,Normal Monster,2,Fiend,DARK,500,750,0.26,18/06/2001,True
Alien Kid,Effect Monster,4,Reptile,LIGHT,1600,700,9.6,27/06/2001,True
Purge Ray,Trap Card,,Normal,,,,0.08,08/12/2003,True
Destiny HERO - Decider,Effect Monster,4,Warrior,DARK,1600,1000,4.08,06/11/2005,True
Earthbound Revival,Spell Card,,Normal,,,,8.23,06/04/2000,True
Jormungardr the Nordic Serpent,Effect Monster,8,Dragon,DARK,3000,3000,9.54,05/12/2002,False
Performapal Gold Fang,Pendulum Effect Monster,4,Beast,LIGHT,1800,700,7.39,22/12/1999,False
Linear Accelerator Cannon,Spell Card,,Normal,,,,6.75,16/04/2017,True
Meliae of the Trees,XYZ Monster,3,Plant,EARTH,1700,900,3.82,14/06/2019,False
Dragon Ice,Effect Monster,5,Dragon,WATER,1800,2200,6.57,14/02/2003,True
Cyber Ogre,Effect Monster,5,Machine,EARTH,1900,1200,3.5,29/01/2019,True
Meteor Dragon,Normal Monster,6,Dragon,EARTH,1800,2000,2.19,24/02/2013,True
Meteorain,Trap Card,,Normal,,,,6.52,08/12/2013,False
Kozmo Tincan,Effect Monster,1,Psychic,LIGHT,0,0,0.72,15/08/2008,False
Guard Go!,Trap Card,,Normal,,,,1.53,02/08/2002,True
Skull-Mark Ladybug,Effect Monster,4,Insect,EARTH,500,1500,1.38,06/12/2001,False
Hieratic Sun Dragon Overlord of Heliopolis,XYZ Monster,8,Dragon,LIGHT,3000,2400,0.86,24/11/1999,True
Red-Eyes Black Metal Dragon,Effect Monster,8,Machine,DARK,2800,2400,2.4,26/10/2019,True
Red-Eyes Black Metal Dragon,Effect Monster,8,Machine,DARK,2800,2400,5.13,07/06/1999,True
Amphibious Bugroth MK-3,Effect Monster,4,Machine,WATER,1500,1300,9.51,17/11/2008,False
Superheavy Samurai Trumpeter,Tuner Monster,2,Machine,EARTH,300,600,5.7,01/12/2011,True
Gorgonic Gargoyle,Effect Monster,3,Rock,DARK,1000,800,5.43,14/02/2001,True
Doomsday Horror,Effect Monster,4,Fiend,DARK,0,0,8.98,05/04/2010,True
Zeta Reticulant,Effect Monster,7,Fairy,DARK,2400,2100,6.38,11/08/2015,True
Eva Token,Token,,Fiend,,,,2.5,18/01/1999,True
Magical Labyrinth,Spell Card,,Equip,,,,8.39,03/03/2019,False
The Six Samurai - Yaichi,Effect Monster,3,Warrior,WATER,1300,800,1.43,02/10/2006,True
Darktellarknight Batlamyus,XYZ Monster,4,Warrior,DARK,2600,550,5.17,06/11/2013,False
Alligator's Sword,Normal Monster,4,Beast,EARTH,1500,1200,4.35,28/08/2006,False
Aquamirror Illusion,Trap Card,,Normal,,,,1.15,12/04/2015,True
Performapal Whim Witch,Pendulum Effect Monster,3,Spellcaster,DARK,800,800,8.27,18/08/2008,False
Superalloy Beast Raptinus,Fusion Monster,8,Dragon,LIGHT,2200,2200,5.03,17/06/2014,False
Qliphort Disk,Pendulum Effect Monster,7,Machine,EARTH,2800,1000,9.87,02/05/2019,True
Z-Metal Tank,Union Effect Monster,4,Machine,LIGHT,1500,1300,7.63,11/02/2000,False
Hibikime,Normal Monster,4,Warrior,EARTH,1450,1000,7.35,08/11/2009,True
Eyearmor,Normal Monster,2,Warrior,EARTH,600,500,6.77,20/08/2000,True
Hieratic Seal of the Dragon King,Gemini Monster,6,Dragon,LIGHT,0,0,1.62,26/07/2003,False
Sasuke Samurai 4,Effect Monster,4,Warrior,WIND,1200,1200,2.87,30/05/2002,True
Scrap Orthros,Tuner Monster,4,Beast,EARTH,1700,1100,2.06,24/05/2020,False
Chimeratech Overdragon,Fusion Monster,9,Machine,DARK,0,0,9.32,19/03/2001,False
Swordsman of Revealing Light,Effect Monster,8,Warrior,LIGHT,0,2400,9.82,13/11/2003,False
Ojama Blue,Effect Monster,2,Beast,LIGHT,0,1000,9.33,13/08/2016,True
Relinquished,Ritual Effect Monster,1,Spellcaster,DARK,0,0,8.56,03/08/2006,True
Iron Call,Spell Card,,Normal,,,,3.26,21/03/2019,True
Localized Tornado,Trap Card,,Normal,,,,8.56,20/05/2004,False
Gandora the Dragon of Destruction,Effect Monster,8,Dragon,DARK,0,0,8.22,03/01/2019,True
Sword Breaker,XYZ Monster,6,Warrior,EARTH,2700,1000,7.91,01/04/1999,True
Trap Dustshoot,Trap Card,,Normal,,,,3.5,14/06/2002,True
Star Seraph Scale,Effect Monster,4,Fairy,LIGHT,1500,900,3.2,28/10/2015,True
Gem-Turtle,Flip Effect Monster,4,Rock,EARTH,0,2000,0.78,07/10/2015,True
